! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
310.000000	0.721053  	310.000000	0.851877  	310.000000	0.856297  	310.000000	0.846292  	310.000000	0.856318  	310.000000	0.851671  	310.000000	0.000206709	
320.000000	0.708731  	320.000000	0.837036  	320.000000	0.841678  	320.000000	0.831696  	320.000000	0.841694  	320.000000	0.836835  	320.000000	0.000200746	
330.000000	0.697127  	330.000000	0.823086  	330.000000	0.827948  	330.000000	0.817989  	330.000000	0.827956  	330.000000	0.82289   	330.000000	0.000195129	
340.000000	0.686182  	340.000000	0.80995   	340.000000	0.81503   	340.000000	0.805095  	340.000000	0.815036  	340.000000	0.80976   	340.000000	0.00018983	
350.000000	0.675841  	350.000000	0.797561  	350.000000	0.802855  	350.000000	0.792945  	350.000000	0.802851  	350.000000	0.797376  	350.000000	0.00018482	
360.000000	0.666057  	360.000000	0.785859  	360.000000	0.791373  	360.000000	0.781479  	360.000000	0.791353  	360.000000	0.785679  	360.000000	0.000180078	
370.000000	0.656787  	370.000000	0.774789  	370.000000	0.780516  	370.000000	0.770644  	370.000000	0.78049   	370.000000	0.774614  	370.000000	0.000175582	
380.000000	0.647993  	380.000000	0.764304  	380.000000	0.770202  	380.000000	0.76039   	380.000000	0.770198  	380.000000	0.764133  	380.000000	0.000171313	
390.000000	0.639639  	390.000000	0.75436   	390.000000	0.760419  	390.000000	0.750673  	390.000000	0.760449  	390.000000	0.754193  	390.000000	0.000167253	
400.000000	0.631694  	400.000000	0.744917  	400.000000	0.751168  	400.000000	0.741455  	400.000000	0.751203  	400.000000	0.744754  	400.000000	0.000163389	
410.000000	0.624129  	410.000000	0.73594   	410.000000	0.742399  	410.000000	0.7327    	410.000000	0.742411  	410.000000	0.735781  	410.000000	0.000159705	
420.000000	0.61692   	420.000000	0.727397  	420.000000	0.734054  	420.000000	0.724375  	420.000000	0.734053  	420.000000	0.727241  	420.000000	0.00015619	
430.000000	0.610042  	430.000000	0.719259  	430.000000	0.726109  	430.000000	0.716451  	430.000000	0.7261    	430.000000	0.719106  	430.000000	0.000152831	
440.000000	0.603474  	440.000000	0.711497  	440.000000	0.718545  	440.000000	0.708901  	440.000000	0.718518  	440.000000	0.711348  	440.000000	0.00014962	
450.000000	0.597196  	450.000000	0.704089  	450.000000	0.711324  	450.000000	0.701701  	450.000000	0.711284  	450.000000	0.703943  	450.000000	0.000146545	
460.000000	0.59119   	460.000000	0.697012  	460.000000	0.704407  	460.000000	0.694828  	460.000000	0.704381  	460.000000	0.696868  	460.000000	0.000143598	
470.000000	0.58544   	470.000000	0.690245  	470.000000	0.697786  	470.000000	0.688262  	470.000000	0.697788  	470.000000	0.690104  	470.000000	0.000140772	
480.000000	0.579931  	480.000000	0.683769  	480.000000	0.691471  	480.000000	0.681984  	480.000000	0.691477  	480.000000	0.683631  	480.000000	0.000138059	
490.000000	0.574648  	490.000000	0.677568  	490.000000	0.685449  	490.000000	0.675976  	490.000000	0.685439  	490.000000	0.677433  	490.000000	0.000135452	
500.000000	0.56958   	500.000000	0.671625  	500.000000	0.679679  	500.000000	0.670223  	500.000000	0.679657  	500.000000	0.671492  	500.000000	0.000132945	
520.000000	0.560036  	520.000000	0.660455  	520.000000	0.668794  	520.000000	0.659422  	520.000000	0.668801  	520.000000	0.660327  	520.000000	0.000128209	
540.000000	0.551216  	540.000000	0.650155  	540.000000	0.658797  	540.000000	0.649476  	540.000000	0.6588    	540.000000	0.650031  	540.000000	0.00012381	
560.000000	0.543045  	560.000000	0.640634  	560.000000	0.649582  	560.000000	0.640295  	560.000000	0.649569  	560.000000	0.640514  	560.000000	0.000119714	
580.000000	0.535459  	580.000000	0.631814  	580.000000	0.641011  	580.000000	0.631799  	580.000000	0.641022  	580.000000	0.631698  	580.000000	0.000115888	
600.000000	0.528403  	600.000000	0.623626  	600.000000	0.633091  	600.000000	0.623922  	600.000000	0.6331    	600.000000	0.623513  	600.000000	0.000112308	
620.000000	0.521829  	620.000000	0.61601   	620.000000	0.625749  	620.000000	0.616603  	620.000000	0.625732  	620.000000	0.615901  	620.000000	0.00010895	
640.000000	0.515693  	640.000000	0.608916  	640.000000	0.618878  	640.000000	0.609791  	640.000000	0.618877  	640.000000	0.60881   	640.000000	0.000105794	
660.000000	0.509959  	660.000000	0.602296  	660.000000	0.612472  	660.000000	0.603439  	660.000000	0.612484  	660.000000	0.602193  	660.000000	0.000102821	
680.000000	0.504591  	680.000000	0.596109  	680.000000	0.606519  	680.000000	0.597507  	680.000000	0.60651   	680.000000	0.596009  	680.000000	0.000100017	
700.000000	0.499561  	700.000000	0.590321  	700.000000	0.600947  	700.000000	0.591958  	700.000000	0.600925  	700.000000	0.590223  	700.000000	9.73665e-05	
720.000000	0.494841  	720.000000	0.584897  	720.000000	0.595706  	720.000000	0.586762  	720.000000	0.59569   	720.000000	0.584802  	720.000000	9.48577e-05	
740.000000	0.490409  	740.000000	0.57981   	740.000000	0.590779  	740.000000	0.581889  	740.000000	0.590781  	740.000000	0.579718  	740.000000	9.24793e-05	
760.000000	0.486243  	760.000000	0.575033  	760.000000	0.586153  	760.000000	0.577313  	760.000000	0.586173  	760.000000	0.574943  	760.000000	9.02213e-05	
780.000000	0.482322  	780.000000	0.570544  	780.000000	0.581814  	780.000000	0.573012  	780.000000	0.581838  	780.000000	0.570456  	780.000000	8.80746e-05	
